Iteration	Posterior	Likelihood	Prior	rate01	rate_log_sd	tree_length
0	-4345.455	-4897.192	551.7373	0.2766951	1.304107	3.233097
6	-4317.065	-4868.462	551.3971	0.3352729	1.425078	3.282904
12	-4324.333	-4876.22	551.8875	0.3321259	1.46596	2.970733
18	-4327.876	-4880.333	552.4577	0.3041563	1.584529	2.588946
24	-4317.22	-4867.803	550.5824	0.2141341	1.340506	3.979043
30	-4338.577	-4889.503	550.9258	0.2431716	1.322042	3.746349
36	-4310.998	-4861.758	550.7605	0.2795085	1.345193	3.774995
42	-4315.776	-4866.609	550.8335	0.299223	1.293181	3.735796
48	-4329.996	-4879.754	549.7576	0.3205751	1.393317	4.265609
54	-4315.629	-4866.117	550.4876	0.2867808	1.29292	3.951697
60	-4328.361	-4880.291	551.9302	0.2867808	1.511619	2.979901
66	-4350.428	-4902.95	552.5221	0.2539987	1.575287	2.630596
72	-4341.838	-4894.786	552.948	0.2595603	1.507485	2.398138
78	-4317.523	-4869.445	551.9223	0.3329314	1.457444	2.953867
84	-4301.011	-4852.971	551.9603	0.3329314	1.422316	2.952136
90	-4306.302	-4857.587	551.2852	0.2483043	1.345407	3.516509
96	-4297.604	-4850.087	552.4834	0.285489	1.652206	2.558299
102	-4293.688	-4845.262	551.5742	0.2821912	1.492734	3.210058
108	-4314.041	-4865.909	551.8678	0.33595	1.381718	3.028068
114	-4343.742	-4893.87	550.128	0.3926236	1.189508	4.085669
120	-4325.692	-4876.385	550.6925	0.3083399	1.332261	3.782418
126	-4314.725	-4865.821	551.0955	0.3083399	1.362906	3.531254
132	-4329.741	-4879.507	549.7663	0.2923527	1.237606	4.385402
138	-4324.281	-4875.296	551.0151	0.4003783	1.325334	3.48751
144	-4330.664	-4881.602	550.938	0.2887402	1.398958	3.628436
150	-4320.919	-4871.83	550.9108	0.3408954	1.30826	3.628436
156	-4317.321	-4868.742	551.4213	0.3556157	1.375682	3.272209
162	-4331.901	-4883.715	551.8132	0.3635158	1.481786	2.965913
168	-4332.178	-4883.658	551.4802	0.3337911	1.536473	3.169696
174	-4323.195	-4874.989	551.794	0.2643897	1.427869	3.144266
180	-4345.73	-4897.877	552.1477	0.2915577	1.503138	2.84684
186	-4347.745	-4899.328	551.5831	0.2389703	1.254147	3.410252
192	-4320.682	-4870.038	549.356	0.3068289	1.256605	4.586619
198	-4333.596	-4882.69	549.0941	0.3322719	1.257991	4.700687
204	-4325.049	-4875.205	550.1563	0.2717012	1.289951	4.16329
210	-4312.439	-4863.8	551.3607	0.2759057	1.353066	3.427044
216	-4307.999	-4857.444	549.4443	0.3834054	1.209074	4.471983
222	-4330.699	-4881.977	551.2774	0.3405992	1.468109	3.321295
228	-4328.852	-4878.858	550.0061	0.3879841	1.338775	4.075253
234	-4313.654	-4862.314	548.6603	0.3425974	1.235899	4.942573
240	-4334.679	-4886.87	552.1911	0.3469533	1.412664	2.800029
246	-4331.327	-4883.7	552.3735	0.3220241	1.551115	2.636624
252	-4324.043	-4876.586	552.5436	0.2630015	1.520975	2.636624
258	-4310.833	-4862.811	551.9779	0.3288638	1.486665	2.90807
264	-4323.81	-4875.958	552.1481	0.2955587	1.392219	2.908016
270	-4334.388	-4885.461	551.0738	0.3003922	1.351427	3.56123
276	-4324.113	-4875.717	551.6032	0.2975808	1.291148	3.290365
282	-4321.125	-4872.668	551.5431	0.3006989	1.344044	3.290365
288	-4317.569	-4869.121	551.5529	0.2671019	1.404862	3.296565
294	-4328.012	-4880.548	552.5355	0.2671019	1.389297	2.716218
300	-4320.006	-4872.899	552.8936	0.2671019	1.509206	2.419313
306	-4317.136	-4869.552	552.4159	0.2823318	1.544656	2.671183
312	-4301.355	-4854.769	553.4139	0.2810113	1.661877	1.960551
318	-4310.722	-4863.596	552.8746	0.260938	1.637013	2.360379
324	-4310.203	-4862.719	552.5162	0.2592968	1.541931	2.646381
330	-4309.433	-4862.151	552.7184	0.2843471	1.521816	2.494762
336	-4329.11	-4881.868	552.7581	0.2990444	1.447277	2.494762
342	-4314.168	-4866.676	552.5081	0.3260546	1.466782	2.599993
348	-4305.73	-4857.719	551.9897	0.3359846	1.410073	2.937804
354	-4313.215	-4864.966	551.7505	0.304729	1.489896	3.07525
360	-4301.851	-4853.623	551.7724	0.3215863	1.429789	3.07525
366	-4304.372	-4856.688	552.3168	0.2575901	1.471484	2.814279
372	-4314.607	-4866.581	551.9736	0.2572756	1.371675	3.081533
378	-4341.548	-4892.6	551.0517	0.3047745	1.324185	3.584004
384	-4329.724	-4880.642	550.9179	0.3013555	1.304042	3.677875
390	-4324.985	-4875.57	550.5846	0.2667603	1.348987	3.892085
396	-4341.501	-4892.641	551.1405	0.2667603	1.313712	3.5916
402	-4312.439	-4864.102	551.6638	0.275853	1.396142	3.223368
408	-4312.635	-4863.749	551.1141	0.2974264	1.386871	3.52118
414	-4325.503	-4876.608	551.105	0.2974264	1.338912	3.554363
420	-4319.44	-4869.692	550.2519	0.339926	1.315149	4.004818
426	-4343.34	-4894.647	551.3065	0.3562493	1.349063	3.354742
432	-4333.352	-4884.342	550.9904	0.3640432	1.344147	3.533088
438	-4337.458	-4888.674	551.2161	0.318113	1.333673	3.464983
444	-4343.594	-4895.113	551.5197	0.3668297	1.369172	3.20419
450	-4339.422	-4890.77	551.3489	0.3597809	1.35849	3.319958
456	-4336.259	-4886.248	549.9889	0.4007103	1.252269	4.120182
462	-4331.431	-4881.584	550.1537	0.3860174	1.218312	4.062013
468	-4333.902	-4884.032	550.1302	0.3827498	1.264614	4.052644
474	-4345.616	-4896.868	551.2524	0.334723	1.302123	3.440787
480	-4318.291	-4869.07	550.7787	0.3609248	1.348482	3.657244
486	-4324.568	-4875.641	551.0722	0.3609248	1.260431	3.537957
492	-4317.739	-4869.375	551.6363	0.3248132	1.406181	3.166079
498	-4323.077	-4874.634	551.5575	0.3248132	1.484952	3.166079
504	-4342.017	-4894.174	552.1571	0.3248132	1.51107	2.790007
510	-4337.732	-4889.956	552.224	0.3211329	1.490662	2.766633
516	-4351.981	-4902.846	550.8645	0.333382	1.305807	3.666061
522	-4342.194	-4896.167	553.9733	0.2770855	1.72798	1.527899
528	-4343.955	-4897.464	553.5094	0.2895236	1.644958	1.893639
534	-4348.218	-4900.633	552.4153	0.3684474	1.643831	2.491713
540	-4337.346	-4890.681	553.3351	0.3091972	1.642401	1.981897
546	-4351.329	-4904.663	553.3338	0.3091972	1.675323	1.960735
552	-4336.171	-4886.696	550.5249	0.330919	1.316334	3.858922
558	-4313.951	-4864.128	550.177	0.3228637	1.283823	4.086681
564	-4344.441	-4895.996	551.5552	0.3292185	1.4599	3.176588
570	-4357.671	-4908.881	551.2106	0.3397704	1.439825	3.37822
576	-4331.292	-4883.501	552.2086	0.2871812	1.366853	2.898827
582	-4333.009	-4884.238	551.2298	0.292434	1.349837	3.482141
588	-4345.775	-4897.29	551.5146	0.3322619	1.363383	3.253836
594	-4327.822	-4879.653	551.8306	0.2970291	1.35706	3.117358
600	-4315.424	-4866.168	550.7443	0.2788815	1.36986	3.77103
606	-4335.158	-4884.738	549.5803	0.3413211	1.205661	4.446128
612	-4342.766	-4892.503	549.7361	0.3099943	1.218272	4.390207
618	-4320.938	-4871.764	550.8266	0.3203214	1.283701	3.717426
624	-4325.99	-4876.031	550.0409	0.3255839	1.318127	4.141215
630	-4333.859	-4886.017	552.1575	0.2804376	1.488245	2.866125
636	-4328.122	-4880.327	552.2052	0.2317864	1.531196	2.887197
642	-4323.817	-4875.682	551.8652	0.2999845	1.364238	3.088351
648	-4330.098	-4880.964	550.8666	0.30934	1.395186	3.644146
654	-4317.509	-4869.23	551.7216	0.2630299	1.461703	3.169188
660	-4310.926	-4862.966	552.0399	0.2587045	1.393114	3.026901
666	-4318.982	-4870.378	551.396	0.2760925	1.378119	3.39137
672	-4326.712	-4878.881	552.1685	0.2760925	1.47272	2.875307
678	-4332.09	-4882.519	550.4283	0.3407679	1.339594	3.888812
684	-4300.315	-4852.216	551.9003	0.2794262	1.467312	3.035047
690	-4314.456	-4865.48	551.0243	0.357262	1.409036	3.48362
696	-4312.94	-4864.697	551.7575	0.3130857	1.487532	3.061039
