Iteration	Posterior	Likelihood	Prior	rate01	rate_log_sd	tree_length
0	-4348.527	-4900.594	552.0676	0.2997503	1.424845	2.930946
6	-4337.633	-4889.193	551.5603	0.3203546	1.329829	3.262174
12	-4328.151	-4878.937	550.7863	0.3116475	1.229519	3.783228
18	-4339.133	-4889.846	550.7124	0.3173705	1.290413	3.783228
24	-4329.678	-4880.504	550.8257	0.3013595	1.502121	3.616489
30	-4327.322	-4878.873	551.551	0.3180931	1.411443	3.222409
36	-4318.425	-4869.527	551.1021	0.3194328	1.468098	3.451337
42	-4329.645	-4880.557	550.9118	0.3115299	1.398325	3.613205
48	-4341.727	-4893.388	551.6605	0.335344	1.36135	3.164609
54	-4335.438	-4886.098	550.6601	0.3935674	1.351005	3.686542
60	-4315.867	-4866.812	550.9453	0.2711066	1.334316	3.686542
66	-4321.882	-4873.329	551.4468	0.3156946	1.365378	3.314309
72	-4322.628	-4874.198	551.5705	0.2805505	1.32394	3.314309
78	-4313.671	-4864.84	551.1686	0.2919026	1.32394	3.533662
84	-4316.768	-4866.2	549.4312	0.3245635	1.285544	4.505613
90	-4323.863	-4872.784	548.9213	0.2655328	1.194041	4.919964
96	-4314.192	-4865.346	551.1543	0.2924744	1.367142	3.515999
102	-4321.787	-4873.135	551.3472	0.317377	1.441132	3.326067
108	-4336.557	-4888.489	551.9315	0.302648	1.481711	2.97459
114	-4318.367	-4870.485	552.1184	0.2977491	1.395456	2.920904
120	-4323.782	-4876.848	553.0669	0.3446178	1.679375	2.083473
126	-4313.534	-4866.624	553.0893	0.344878	1.625504	2.103787
132	-4330.605	-4883.006	552.4012	0.3668891	1.582083	2.541021
138	-4334.95	-4887.257	552.3074	0.3127281	1.437867	2.759518
144	-4336.417	-4889.371	552.9533	0.2849859	1.571213	2.314312
150	-4330.371	-4883.303	552.932	0.2913459	1.577347	2.314312
156	-4318.744	-4871.116	552.372	0.3214203	1.404353	2.728572
162	-4336.256	-4886.767	550.5109	0.2815329	1.248639	3.970929
168	-4319.745	-4869.558	549.8129	0.3126436	1.149286	4.382418
174	-4333.205	-4884.835	551.6306	0.3217416	1.310517	3.230202
180	-4325.858	-4877.412	551.554	0.3297361	1.369403	3.230202
186	-4342.505	-4893.13	550.6247	0.3163168	1.412638	3.764717
192	-4321.867	-4872.732	550.8647	0.2421661	1.354016	3.764717
198	-4329.135	-4878.06	548.9246	0.2681584	1.288935	4.861576
204	-4335.762	-4885.07	549.308	0.2600495	1.203293	4.706777
210	-4325.639	-4875.28	549.6416	0.3509444	1.176226	4.416671
216	-4318.718	-4869.332	550.6146	0.3240355	1.260269	3.848336
222	-4324.195	-4873.833	549.6376	0.2796687	1.245114	4.470913
228	-4329.018	-4878.501	549.4831	0.36176	1.238064	4.458429
234	-4331.694	-4882.265	550.5708	0.3256852	1.206663	3.902107
240	-4327.034	-4876.308	549.2741	0.291678	1.151166	4.711396
246	-4315.049	-4864.313	549.2641	0.3252738	1.116574	4.69329
252	-4332.784	-4882.117	549.3324	0.2918112	1.110745	4.701215
258	-4347.792	-4897.338	549.5458	0.3531719	1.071205	4.527065
264	-4335.151	-4884.928	549.7772	0.240626	1.154992	4.499132
270	-4323.224	-4872.907	549.6835	0.295611	1.110919	4.499132
276	-4323.63	-4873.999	550.3696	0.295611	1.18793	4.067076
282	-4324.432	-4876.441	552.0095	0.3425939	1.392434	2.927933
288	-4317.307	-4870.05	552.7427	0.3232708	1.578259	2.387403
294	-4314.367	-4867.286	552.9197	0.2601293	1.531854	2.399726
300	-4301.012	-4853.22	552.2072	0.3161305	1.410765	2.832342
306	-4324.788	-4875.353	550.5646	0.3221431	1.274987	3.87102
312	-4332.692	-4883.656	550.9639	0.2789662	1.237956	3.720309
